step,s_current,x_err,y_err,mag,cmd_x_pair,cmd_y_pair,tip_x,tip_y,tip_z
0,0.050200,-0.01208,-0.01429,0.01871,0.000000,0.000000,0.000000,0.000000,0.115200
1,0.050400,-0.01444,-0.01546,0.02116,0.000000,0.000000,0.000000,0.000000,0.115400
2,0.050600,-0.01918,-0.01337,0.02338,0.000000,0.000000,0.000000,0.000000,0.115600
3,0.050800,-0.01677,-0.00668,0.01805,0.000000,0.000000,0.000000,0.000000,0.115800
4,0.051000,-0.02941,-0.01733,0.03414,0.000000,0.000000,0.000000,0.000000,0.116000
5,0.051200,-0.02497,-0.01571,0.02950,0.000000,0.000000,0.000000,0.000000,0.116200
6,0.051400,-0.02851,-0.01134,0.03068,0.000000,0.000000,0.000000,0.000000,0.116400
7,0.051600,-0.01042,-0.01018,0.01457,0.000000,0.000000,0.000000,0.000000,0.116600
8,0.051800,-0.00599,0.00227,0.00641,0.000000,0.000000,0.000000,0.000000,0.116800
9,0.052000,0.01107,0.00271,0.01140,0.000000,0.000000,0.000000,0.000000,0.117000
10,0.052200,0.02046,-0.00226,0.02059,0.000000,0.000000,0.000000,0.000000,0.117200
11,0.052400,0.01779,-0.00257,0.01798,0.000000,0.000000,0.000000,0.000000,0.117400
12,0.052600,0.01768,-0.00630,0.01877,0.000000,0.000000,0.000000,0.000000,0.117600
13,0.052800,0.02462,-0.01246,0.02759,0.000000,0.000000,0.000000,0.000000,0.117800
14,0.053000,0.02692,-0.00565,0.02751,0.000000,0.000000,0.000000,0.000000,0.118000
15,0.053200,0.02648,-0.01175,0.02896,0.000000,0.000000,0.000000,0.000000,0.118200
16,0.053400,0.02816,0.00301,0.02832,0.000000,0.000000,0.000000,0.000000,0.118400
17,0.053600,0.03772,0.00281,0.03782,0.000000,0.000000,0.000000,0.000000,0.118600
18,0.053800,0.02967,0.00681,0.03044,0.000000,0.000000,0.000000,0.000000,0.118800
19,0.054000,0.05520,-0.01487,0.05717,0.000000,0.000000,0.000000,0.000000,0.119000
20,0.054200,0.05540,-0.01579,0.05761,0.000000,0.000000,0.000000,0.000000,0.119200
21,0.054400,0.03973,-0.03182,0.05090,0.000000,0.000000,0.000000,0.000000,0.119400
22,0.054600,0.03735,-0.02390,0.04434,0.000000,0.000000,0.000000,0.000000,0.119600
23,0.054800,0.03610,-0.02710,0.04514,0.000000,0.000000,0.000000,0.000000,0.119800
24,0.055000,0.02407,-0.01811,0.03013,0.000000,0.000000,0.000000,0.000000,0.120000
25,0.055200,0.04929,-0.01337,0.05107,0.000000,0.000000,0.000000,0.000000,0.120200
26,0.055400,0.06072,-0.01059,0.06164,0.000000,0.000000,0.000000,0.000000,0.120400
27,0.055600,0.02998,-0.01264,0.03253,0.000000,0.000000,0.000000,0.000000,0.120600
28,0.055800,0.03595,0.00100,0.03596,0.000000,0.000000,0.000000,0.000000,0.120800
29,0.056000,0.02418,0.00300,0.02437,0.000000,0.000000,0.000000,0.000000,0.121000
30,0.056200,0.02307,0.00873,0.02467,0.000000,0.000000,0.000000,0.000000,0.121200
31,0.056400,0.02019,0.01909,0.02779,0.000000,0.000000,0.000000,0.000000,0.121400
32,0.056600,0.01348,0.00385,0.01402,0.000000,0.000000,0.000000,0.000000,0.121600
33,0.056800,0.01672,0.00392,0.01717,0.000000,0.000000,0.000000,0.000000,0.121800
34,0.057000,0.02593,-0.00338,0.02615,0.000000,0.000000,0.000000,0.000000,0.122000
35,0.057200,0.02270,-0.01192,0.02564,0.000000,0.000000,0.000000,0.000000,0.122200
36,0.057400,0.01086,-0.00924,0.01426,0.000000,0.000000,0.000000,0.000000,0.122400
37,0.057600,0.01161,-0.01124,0.01616,0.000000,0.000000,0.000000,0.000000,0.122600
38,0.057800,0.00132,-0.00760,0.00771,0.000000,0.000000,0.000000,0.000000,0.122800
39,0.058000,0.01301,-0.00234,0.01322,0.000000,0.000000,0.000000,0.000000,0.123000
40,0.058200,0.03351,0.00457,0.03382,0.000000,0.000000,0.000000,0.000000,0.123200
41,0.058400,0.00982,0.01564,0.01847,0.000000,0.000000,0.000000,0.000000,0.123400
42,0.058600,0.00757,0.02721,0.02824,0.000000,0.000000,0.000000,0.000000,0.123600
43,0.058800,0.00744,0.02302,0.02419,0.000000,0.000000,0.000000,0.000000,0.123800
44,0.059000,-0.02668,0.03200,0.04166,0.000000,0.000000,0.000000,0.000000,0.124000
45,0.059200,-0.02286,0.01578,0.02777,0.000000,0.000000,0.000000,0.000000,0.124200
46,0.059400,-0.02531,0.01520,0.02953,0.000000,0.000000,0.000000,0.000000,0.124400
47,0.059600,-0.02080,0.02258,0.03071,0.000000,0.000000,0.000000,0.000000,0.124600
48,0.059800,-0.04919,0.04754,0.06841,0.000000,0.000000,0.000000,0.000000,0.124800
49,0.060000,-0.03949,0.04322,0.05854,0.000000,0.000000,0.000000,0.000000,0.125000
50,0.060200,-0.04539,0.06428,0.07869,0.000000,0.000000,0.000000,0.000000,0.125200
51,0.060400,-0.04069,0.06699,0.07838,0.000000,0.000000,0.000000,0.000000,0.125400
52,0.060600,-0.02758,0.05639,0.06277,0.000000,0.000000,0.000000,0.000000,0.125600
53,0.060800,-0.01658,0.04527,0.04821,0.000000,0.000000,0.000000,0.000000,0.125800
54,0.061000,-0.03524,0.03296,0.04825,0.000000,0.000000,0.000000,0.000000,0.126000
55,0.061200,-0.06191,0.03848,0.07289,0.000000,0.000000,0.000000,0.000000,0.126200
56,0.061400,-0.04790,0.03848,0.06144,0.000000,0.000000,0.000000,0.000000,0.126400
57,0.061600,-0.05337,0.03724,0.06508,0.000000,0.000000,0.000000,0.000000,0.126600
58,0.061800,-0.05566,0.03995,0.06852,0.000000,0.000000,0.000000,0.000000,0.126800
59,0.062000,-0.06310,0.05230,0.08196,0.000050,-0.000042,0.000013,0.000011,0.127000
60,0.062200,-0.06607,0.06029,0.08945,0.000103,-0.000090,0.000051,0.000046,0.127200
61,0.062400,-0.07549,0.05138,0.09132,0.000164,-0.000131,0.000117,0.000103,0.127400
62,0.062600,-0.07128,0.03563,0.07969,0.000164,-0.000131,0.000195,0.000170,0.127599
63,0.062800,-0.06019,0.02077,0.06368,0.000164,-0.000131,0.000270,0.000234,0.127799
64,0.063000,-0.05293,0.02219,0.05739,0.000164,-0.000131,0.000341,0.000295,0.127998
65,0.063200,-0.07154,-0.01129,0.07243,0.000164,-0.000131,0.000408,0.000352,0.128197
66,0.063400,-0.06339,-0.00235,0.06344,0.000164,-0.000131,0.000471,0.000405,0.128396
67,0.063600,-0.07213,-0.01226,0.07316,0.000164,-0.000131,0.000530,0.000455,0.128595
68,0.063800,-0.06960,-0.02222,0.07306,0.000164,-0.000131,0.000585,0.000502,0.128794
69,0.064000,-0.06868,-0.01698,0.07075,0.000164,-0.000131,0.000638,0.000545,0.128993
70,0.064200,-0.07387,-0.02044,0.07665,0.000164,-0.000131,0.000687,0.000586,0.129191
71,0.064400,-0.07474,-0.02292,0.07817,0.000164,-0.000131,0.000733,0.000624,0.129390
72,0.064600,-0.06972,-0.03734,0.07909,0.000164,-0.000131,0.000777,0.000660,0.129589
73,0.064800,-0.08189,-0.05115,0.09656,0.000229,-0.000090,0.000835,0.000683,0.129788
74,0.065000,-0.07912,-0.02533,0.08308,0.000293,-0.000070,0.000922,0.000688,0.129986
75,0.065200,-0.09519,-0.03661,0.10198,0.000369,-0.000041,0.001040,0.000678,0.130184
76,0.065400,-0.06729,-0.02395,0.07142,0.000369,-0.000041,0.001171,0.000660,0.130381
77,0.065600,-0.06976,-0.04071,0.08077,0.000425,-0.000008,0.001312,0.000632,0.130577
78,0.065800,-0.05709,-0.05452,0.07894,0.000425,-0.000008,0.001458,0.000598,0.130774
79,0.066000,-0.05458,-0.04405,0.07014,0.000425,-0.000008,0.001596,0.000565,0.130969
80,0.066200,-0.06599,-0.06247,0.09087,0.000477,0.000042,0.001741,0.000520,0.131165
81,0.066400,-0.05670,-0.06462,0.08597,0.000523,0.000094,0.001902,0.000451,0.131359
82,0.066600,-0.05059,-0.06608,0.08322,0.000563,0.000146,0.002075,0.000357,0.131553
83,0.066800,-0.05473,-0.07267,0.09097,0.000607,0.000205,0.002261,0.000237,0.131745
84,0.067000,-0.06272,-0.04100,0.07493,0.000607,0.000205,0.002448,0.000108,0.131936
85,0.067200,-0.06771,-0.04404,0.08077,0.000661,0.000240,0.002639,-0.000026,0.132125
86,0.067400,-0.06249,-0.01555,0.06439,0.000661,0.000240,0.002832,-0.000161,0.132314
87,0.067600,-0.08697,-0.01154,0.08773,0.000731,0.000249,0.003033,-0.000291,0.132500
88,0.067800,-0.06316,0.00719,0.06357,0.000731,0.000249,0.003238,-0.000415,0.132686
89,0.068000,-0.04918,0.00731,0.04972,0.000731,0.000249,0.003434,-0.000532,0.132871
90,0.068200,-0.02587,0.03634,0.04461,0.000731,0.000249,0.003618,-0.000642,0.133055
91,0.068400,-0.00562,0.06086,0.06111,0.000731,0.000249,0.003791,-0.000744,0.133240
92,0.068600,0.02103,0.07348,0.07643,0.000731,0.000249,0.003954,-0.000840,0.133425
93,0.068800,0.02458,0.08472,0.08821,0.000711,0.000181,0.004101,-0.000911,0.133611
94,0.069000,0.04798,0.09174,0.10352,0.000673,0.000108,0.004226,-0.000940,0.133799
95,0.069200,0.05386,0.10226,0.11558,0.000630,0.000026,0.004322,-0.000924,0.133991
96,0.069400,0.06187,0.09522,0.11355,0.000580,-0.000050,0.004388,-0.000865,0.134186
97,0.069600,0.06558,0.08165,0.10473,0.000528,-0.000115,0.004423,-0.000768,0.134384
98,0.069800,0.06305,0.07401,0.09722,0.000477,-0.000175,0.004430,-0.000640,0.134586
99,0.070000,0.03496,0.05801,0.06773,0.000477,-0.000175,0.004422,-0.000503,0.134788
100,0.070200,0.05580,0.04994,0.07489,0.000477,-0.000175,0.004413,-0.000371,0.134990
101,0.070400,0.06125,0.01231,0.06247,0.000477,-0.000175,0.004404,-0.000247,0.135192
102,0.070600,0.06347,0.02006,0.06656,0.000477,-0.000175,0.004395,-0.000131,0.135393
103,0.070800,0.05488,0.00299,0.05496,0.000477,-0.000175,0.004388,-0.000022,0.135594
104,0.071000,0.04976,0.01391,0.05167,0.000477,-0.000175,0.004380,0.000080,0.135795
105,0.071200,0.03546,0.02888,0.04574,0.000477,-0.000175,0.004373,0.000175,0.135995
106,0.071400,0.03986,0.02679,0.04803,0.000477,-0.000175,0.004366,0.000264,0.136195
107,0.071600,0.05382,0.02745,0.06042,0.000477,-0.000175,0.004360,0.000348,0.136395
108,0.071800,0.05123,0.02280,0.05607,0.000477,-0.000175,0.004354,0.000426,0.136595
109,0.072000,0.04393,0.00327,0.04405,0.000477,-0.000175,0.004349,0.000499,0.136795
